1965,5,1,"",Punjabi Bagh,28.666567,77.12454,14500,5800
2174,5,1,"",Uttam Nagar,28.619968,77.04356,10000,5100
572,8,1,Grovenors House Business Centre,Mathura Road,28.519566,77.29455,70000,69250
1851,3,1,"",Kailash Colony,28.552973,77.24079,6600,2200
3670,6,1,Salcon Rasvilas,Saket,28.527805,77.22,300000,2630
1971,5,1,EROS 48,South Extension 1,28.569279,77.217384,20000,7820
1884,3,1,"",Kotla,28.573532,77.22812,4800,1600
1991,3,1,"",Punjabi Bagh,28.666082,77.1257,3000,1000
1898,4,1,"",Lajpat Nagar,28.5696,77.24202,2800,1400
1852,4,1,"",Kailash Colony,28.55399,77.24108,6900,1800
1900,5,1,"",Lajpat Nagar,28.570341,77.24036,4500,2700
1860,4,1,"",South Extension 2,28.568373,77.21847,17600,2800
4013,4,1,"",Mathura Road,28.496262,77.30305,18240,12480
3048,5,1,"",Kirti Nagar,28.656605,77.14209,10000,1200
2126,5,1,"",Lajpat Nagar 1,28.577566,77.23903,9000,2700
2885,5,1,"",Rohini,28.71195,77.11566,9000,5000
2056,5,1,"",Dwarka,28.617117,77.03235,5800,1100
2118,6,1,"",SJ Enclave,28.568089,77.18975,17000,6500
2835,8,1,Bharti World Mark 1 - Wing B,Aerocity,28.55044,77.121796,480000,15000
1695,5,1,"",Malviya Nagar,28.538334,77.19819,5500,1100
1902,4,1,"",Lajpat Nagar,28.56857,77.24389,7200,7200
2103,6,1,"",Uttam Nagar,28.620033,77.04426,9600,9600
1862,5,1,"",Lajpat Nagar 2,28.574085,77.23873,10000,10000
2104,4,1,"",Uttam nagar,28.620037,77.036285,4176,2080
1857,3,1,"",Sadar Bazaar,28.650484,77.20538,7500,2500
3553,4,1,AIPL,Okhla Industrial Area,28.551329,77.268265,32000,32000
2070,3,1,"",Uttam Nagar,28.621584,77.05415,5100,5100
3575,8,1,DLF The South Court,Saket,28.527464,77.22053,400000,3800
2002,5,1,"",Malviya Nagar,28.538328,77.211845,6900,900
1887,4,1,"",South Extension 1,28.570168,77.22623,3200,1600
2637,4,1,"",Kirti Nagar,28.655146,77.13706,10000,4000
1976,3,1,"",Janakpuri,28.628271,77.09982,4100,2500
1974,5,1,"",Janakpuri,28.62444,77.099106,8500,5100
4160,3,1,"",Lajpat Nagar,28.564972,77.23573,9000,3000
1914,5,1,"",Okhla,28.533472,77.27046,8000,8000
1909,5,1,"",Arjun Nagar,28.573854,77.22842,8000,6000
1735,5,1,"",Sewak Park,28.683725,77.13328,15000,3000
3755,3,1,"",Mansarover Garden,28.641973,77.129036,2000,600
2063,5,1,"",Kirti Nagar,28.646929,77.14105,20625,12375
3024,5,1,"",South Extension 1,28.573088,77.22096,9000,9000
3540,4,1,"",Chandni Chowk,28.649881,77.22894,9500,6800
3215,4,1,"",Saket,28.523155,77.20772,5000,1250
