2022,3,1,"",Sector 8,28.59712,77.32811,10500,7000
2074,6,1,"",Sector 67,28.602077,77.3816,30000,5000
931,12,1,Logix Galaxia Tower B,Sector 140A,28.509756,77.42181,371160,371160
844,3,1,Bhasin Festival City,Sector 143B,28.493666,77.42663,286215,286214
983,19,1,Vardhman Alfa Square,Sector Alpha,28.46922,77.50863,380000,11476
3571,15,1,BPTP Capital City Tower-A,Sector 94,28.551588,77.32239,800000,703995
546,5,1,"",Sector 63,28.630213,77.381516,18000,7200
842,34,1,Bhasin Mist Avenue Tower 4,Sector 143B,28.494698,77.42668,734100,734100
3421,9,1,Riverside Tower,Sector 125,28.543793,77.33101,95500,95400
2853,6,1,Express Trade Tower 2 - Wing B,Sector 132,28.514433,77.37769,125000,23000
3323,21,1,Proplarity Bizlife - Tower B,Sector 62,28.626787,77.36128,390000,388427
1157,19,1,WTC Signature Tower,Tech Zone I,28.386904,77.51624,352000,352000
2454,3,1,"",Sector 63,28.624252,77.38175,20000,19500
930,12,1,Logix Galaxia Tower A,Sector 140A,28.509756,77.42181,371160,371160
2653,14,1,Brookfield InfoSpace - Tower 6,Sector 135,28.49811,77.40457,416329,416329
2025,5,1,"",Sector 24,28.59324,77.34951,15000,15000
2473,3,1,"",Sector 57,28.601954,77.35416,10000,7500
3721,28,1,Bhutani Alphathum - Block A,Sector 90,28.51472,77.40839,756000,756000
3261,12,1,Adityas,Sector 51,28.57886,77.36439,264000,132000
2038,5,1,"",Sector 10,28.589827,77.335014,37500,7500
824,21,1,DAH Greentech NX Byte - IT Tower 3,Tech Zone IV,28.601381,77.433655,690000,684500
902,8,1,Noida World One Block C,Sector 90,28.51444,77.40904,185900,127385
900,25,1,Noida World One Block A,Sector 90,28.513618,77.41186,586805,110800
959,8,1,Urbtech Trade Center Tower 1,Sector 132,28.514347,77.376625,200000,200000
3475,9,1,SB Towers,Sector 125,28.543793,77.33101,148820,148815
1869,3,1,"",Sector 63,28.628597,77.37578,6450,6450
955,3,1,AMR The Great Adventure Mall,Tech Zone,28.399124,77.51232,500000,245000
953,14,1,AMR Manthan - Tower A,Tech Zone,28.397284,77.51298,707000,707000
2137,3,1,"",Sector 16,28.579441,77.3136,8250,5500
961,9,1,Urbtech Trade Centre Tower 2,Sector 132,28.514347,77.376625,225000,225000
3489,10,1,"",Sector 132,28.513678,77.376945,85000,85000
2490,5,1,"",Sector 58,28.606668,77.35585,4800,1000
726,8,1,The Corenthum Tower B,Sector 62,28.626272,77.37348,420000,320000
2479,3,1,"",Sector 57,28.602835,77.35235,12000,8000
3479,9,1,Arihant IT Park,Sector 126,28.538866,77.33962,65700,65700
3644,5,1,Ishan Space,Sector 63,28.625822,77.37742,66000,33200
707,13,1,The Ithum Tower B,Sector 62,28.62729,77.37241,440000,434000
1943,4,1,"",Sector 63,28.62598,77.376205,22400,5600
2411,4,1,"",Sector 18,28.569305,77.32397,2600,2600
2481,4,1,"",Sector 58,28.61014,77.36078,26000,13000
2670,4,1,"",Sector 65,28.612251,77.38997,10000,5000
2091,5,1,"",Sector 10,28.59192,77.33048,19600,19600
1867,5,1,"",Sector 62 A,28.61715,77.35472,5000,3000
667,11,1,Assotech One,Sector 62,28.614265,77.35548,125000,35000
2858,6,1,Express Trade Tower 2 - Wing C,Sector 132,28.514278,77.37762,120000,30000
683,9,1,Stellar 135,Sector 135,28.501055,77.40133,270000,80423
837,13,1,VHR Winsten Park Tower A,Knowledge Park V,28.556671,77.47265,240000,41625
3513,7,1,"",Sector 136,28.50462,77.40278,63200,55300
1954,5,1,"",Sector 63,28.630037,77.38156,30000,18000
2664,13,1,Brookfield InfoSpace - Tower 3,Sector 62,28.62164,77.35645,332655,285653
2475,4,1,"",Sector 2,28.583055,77.31485,10000,2000
3552,9,1,AIPL Greenfort,Sector 132,28.513893,77.37244,216000,27000
1876,5,1,"",Sector 63,28.627363,77.37606,27500,27500
1788,8,1,Insignia,Sector 126,28.541365,77.34142,35000,20000
1882,5,1,"",Sector 63,28.627539,77.37613,22500,13500
3488,8,1,MMR Heights - Tower B,Sector 126,28.53944,77.34261,23300,23296
