roadid,lat,lon,lat.1,lon.1
2826,28.7898684,77.0541118,28.7820711,77.0674184
2827,28.7820711,77.0674184,28.7819624,77.0673512
2830,28.79117,77.0388414,28.8045538,77.0471909
2831,28.7795175,77.0440145,28.7896752,77.0527761
2834,28.7931836,77.0486627,28.7931836,77.0486627
2835,28.7826365,77.0547606,28.7826365,77.0547606
2836,28.7894277,77.0678815,28.7895679,77.0680388
2837,28.7955355,77.0589494,28.7954562,77.059058
2838,28.78935,77.0678018,28.7894277,77.0678815
2840,28.7869943,77.0587649,28.7918335,77.063804
2843,28.7891642,77.0676189,28.78935,77.0678018
2844,28.7931125,77.0375452,28.7802118,77.0440006
2845,28.7900125,77.0453902,28.7900125,77.0453902
2846,28.7973675,77.0528371,28.7973675,77.0528371
2847,28.7896477,77.0540036,28.7896477,77.0540036
2851,28.7936636,77.0572471,28.7891655,77.0629586
2853,28.7899082,77.0453756,28.786305,77.049786
2855,28.7829255,77.0545215,28.7869943,77.0587649
2857,28.7825463,77.0547498,28.7795236,77.0583783
2858,28.7863665,77.0410478,28.7898843,77.0446848
2861,28.786305,77.049786,28.7829156,77.0542407
2863,28.7986819,77.0438427,28.7935596,77.0481331
2865,28.8027341,77.0457093,28.7976717,77.052413
2867,28.7903165,77.0450677,28.7931452,77.0479716
2868,28.7935857,77.0484131,28.7972698,77.0521204
2869,28.7973056,77.0528328,28.7936636,77.0572471
2872,28.7932644,77.0486777,28.7905092,77.0529563
2875,28.7905988,77.0536711,28.7955355,77.0589494
2880,28.8070598,77.0712659,28.8092625,77.0798096
2883,28.8113143,77.0533853,28.8020479,77.0654655
2886,28.8181231,77.0613075,28.8082075,77.0721953
2889,28.80266,77.076382,28.7981874,77.0785501
2891,28.8062217,77.0743667,28.8060876,77.0744374
2893,28.8028534,77.0764449,28.8028534,77.0764449
2894,28.8087243,77.0730466,28.8062217,77.0743667
2898,28.8060876,77.0744374,28.8031517,77.0761615
2899,28.8008343,77.0710616,28.8028607,77.075716
2901,28.8092625,77.0798096,28.8091068,77.0798909
2903,28.8091068,77.0798909,28.7966345,77.0863502
2904,28.8031005,77.076292,28.8052126,77.0819232
2908,28.4262657,77.2914854,28.4139799,77.283079
2909,28.4274288,77.3071991,28.4272606,77.3045748
2910,28.4275838,77.3034468,28.434365,77.3034799
2911,28.4342991,77.3035663,28.4343473,77.2940963
2916,28.427172,77.2917646,28.4266711,77.2916323
2922,28.4264914,77.2911293,28.48939,77.2866876
2932,28.4199684,77.3053132,28.4193392,77.2937194
2942,28.4390069,77.3239967,28.4565712,77.3188888
2943,28.4286854,77.3269626,28.4390069,77.3239967
2949,28.4164412,77.3250148,28.4160045,77.3104812
2950,28.420887,77.3304017,28.4207973,77.3300238
2952,28.421125,77.3314051,28.4210061,77.3309039
2954,28.4210061,77.3309039,28.420887,77.3304017
2957,28.421237,77.3322009,28.421125,77.3314051
2958,28.4207973,77.3300238,28.4205105,77.3294859
2960,28.4209827,77.3292279,28.4286854,77.3269626
2963,28.4269753,77.3192306,28.4282115,77.3191816
2964,28.4282169,77.3192709,28.4269753,77.3192306
